ID,Titre,Entreprise,Lieu,Source,Date,Description,Lien
756,"Usineur tourneur (f) casa- nouace-berrechid - Casablanca","vhp","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous recrutons des Usineuses Tourneuses (Fille) pour intégrer notre unité industrielle située dans la région Casablanca – Nouaceur – Berrechid. Profil recherché : Formation en fabrication mécanique ou usinage (IMA) Première expérience exigée en tournage sur machine à commande numérique (CN) Capacité à lire les plans techniques Rigueur, précision et sens des responsabilités Missions principales : Réaliser des opérations de tournage sur machines CN Assurer le réglage et le contrôle des pièces usinées Veiller au respect des normes de qualité et de sécurité Lieu de travail : 📍 Région Casablanca – Nouaceur – Berrechid","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297672/Usineur-tourneur-(f)-casa-nouace-berrechid.html"
757,"Soudeur TIG – Fabrication Mécanique – Berrechid - Casablanca","vhp","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous recrutons pour notre client un Soudeur TIG dans la région de Berrechid. Profil recherché : Diplôme en fabrication mécanique ou équivalent Expérience en soudage TIG (souhaitée) Bonne maîtrise de la lecture de plans techniques Rigueur, précision et respect des règles de sécurité Missions principales : Réaliser des opérations de soudage TIG selon les plans et procédures Contrôler la qualité des soudures réalisées Respecter les normes de qualité et de sécurité en vigueur Lieu de travail : 📍 Berrechid","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297683/Soudeur-TIG-–-Fabrication-Mécanique-–-Berrechid.html"
758,"Gestionnaire de paie à Ben Guérir - Benguerir","DEKRA Services","Benguerir","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Notre client, une entreprise de renom basée à Ben Guérir, recrute ses gestionnaires de paie. Vous êtes responsable de : - Préparer la paie en collectant et en analysant toutes les informations nécessaires (temps de travail, congés payés, heures supplémentaires, primes, taxes, cotisations, maladie, augmentation, acomptes, titres-restaurant, etc.). - Contrôler et effectuer la saisie des données relatives à l’élaboration des bulletins de paie dans un logiciel de paie ERP - Éditer les bulletins de paie, dans le respect de la réglementation du travail, de la législation, et de la politique RH de l’entreprise. - Gérer la mise à jour des paramétrages du logiciel de paie. - Établir les déclarations fiscales et sociales de l’entreprise (cotisations salariales et patronales, CNSS, mutuelle, CIMR, …). - Assurer et entretenir les relations avec les organismes sociaux. - S’assurer de l’application du droit social et du droit du travail (rémunération, durée de travail, congés, …). - Participer aux activités d’administration du personnel (par exemple : suivi des absences ou des congés, avenants contrats de travail). - Élaborer des documents de synthèse : tableaux de bord, masse salariale, entrées et/ou sorties. - Effectuer les travaux post-paie (archivage, paiement des charges sociales…) De formation en Gestion et/ou Comptabilité ou équivalent, vous justifiez d’une expérience d’au moins 4 années dans une fonction similaire. Vous êtes dynamique, disponible et autonome. Vous faites preuve d’une bonne maitrise du process de la paie.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10295987/Gestionnaire-de-paie-à-Ben-Guérir.html"
759,"Comptable confirmé - Agadir","Particulier","Agadir","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous recrutons un Comptable confirmé justifiant d’une expérience confirmée, avec maîtrise des opérations comptables, fiscales et des clôtures. Une expérience dans le secteur de l’hôtellerie est fortement requise. Les personnes intéressées sont priées de nous envoyer leur CV.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297705/Comptable-confirmé-Agadir.html"
760,"Coordinatrice RH - Agadir","Particulier","Agadir","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous recrutons une Coordinatrice RH chargée de la gestion administrative du personnel, du suivi RH et de la coordination avec les équipes. Une expérience dans le secteur de l’hôtellerie est fortement requise. Les personnes intéressées sont priées de nous envoyer leur CV.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297715/Coordinatrice-RH-Agadir.html"
761,"Responsable Achats - Agadir","Particulier","Agadir","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous recrutons un Responsable Achats en charge de la gestion des fournisseurs, des commandes et de l’optimisation des coûts. Une expérience dans le secteur de l’hôtellerie est fortement requise. Les personnes intéressées sont priées de nous envoyer leur CV.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297720/Responsable-Achats-Agadir.html"
762,"Chargé(e) de la relation client / bac+2/3 - Casablanca","Confidentiel","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact - Offre d’emploi : Chargé(e) de la Relation Client Nous recherchons un(e) Chargé(e) de la Relation Client dynamique et motivé(e) pour rejoindre notre équipe ! Missions principales : • Gérer les appels entrants et sortants des clients. • Répondre aux demandes d’information, réclamations ou suggestions. • Assurer un suivi personnalisé des dossiers clients. • Veiller à la satisfaction et à la fidélisation de la clientèle. Profil recherché : • Bac+2/3 en commerce, gestion ou équivalent. • Expérience minimum d’un an dans un poste similaire. • Aisance relationnelle, sens de l’écoute. • Excellente communication orale et écrite en français. • Bonne maîtrise du pack office. - Lieu : Casablanca Lissasfa - Disponibilité : Immédiate Pour postuler : merci d'adresser vos candidatures via Maroc annonces.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297721/Chargé(e)-de-la-relation-client-bac23.html"
763,"Caissière_ casablanca / bac+2","Domino RH","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous sommes à la recherche de candidates dynamiques et motivées pour rejoindre l’équipe d’un centre commercial situé à Mers Sultan. - Profil recherché : Bac+2 en Gestion / Commerce Une première expérience comme caissière, idéalement en grandes surfaces Sens du service client, rigueur et bonne présentation - Lieu : Mers Sultan – Casablanca","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10256186/Caissière-casablanca-bac2.html"
764,"Conducteur de travaux - Bouskoura","Promoteur immobilier","Bouskoura","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous sommes un promoteur immobilier, nous sommes à la recherche d'un conducteur de travaux pour le suivi de chantier tout corps d'état","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10290784/Conducteur-de-travaux.html"
765,"Recrutement divers postes -casablanca (rte tadart) / bac+2/3","Secteur Boulangerie Pâtisserie","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Ouverture prochaine – Restaurant & Pâtisserie sur Casablanca – Route de Taddart. Dans le cadre du lancement d’un nouveau concept de restaurant & pâtisserie, plusieurs postes sont à pourvoir immédiatement. Postes recherchés : -Boulanger(e) -Pâtissier(e) -Cuisinier / Commis de cuisine -Vendeur(se) / Employé(e) polyvalent(e) -Serveur(se) -Caissier(ère) -Manager (profil expérimenté) Profil recherché : -Passion pour la gastronomie et le service client -Sérieux(se), motivé(e), esprit d’équipe -Formation et/ou expérience en restauration appréciée -Managers : Bac+2/3 et expérience exigée -Autres postes : niveau Bac ou diplôme métier","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10290027/Recrutement-divers-postes-casablanca-(rte-tadart)-bac23.html"
766,"Stagiaire chargé de recrutement – casablanca / bac + 5 en rh","Secteur d'intérim","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous recrutons pour notre propre compte un Chargé de Recrutement H/F pour un Stage (Rémunéré) à pourvoir dès que possible. Vous accompagnerez l'ensemble du processus de recrutement aux côtés du responsable Recrutement, qui vous offrira l'opportunité de découvrir et d'apprendre un métier passionnant et exigeant. Après une formation à nos méthodes et à notre culture, vous intervenez sur : • Le sourcing de candidats sur les Cv-thèques, • La présélection téléphonique, • Les entretiens en face à face en binôme avec le Responsable de Recrutement. Ce stage diversifié et formateur, vous permettra alors de comprendre l'ensemble du process de recrutement. Profil : • Issu(e) d'une formation supérieure, BAC + 5 en RH, vous souhaitez acquérir une expérience terrain valorisante. • Nous vous offrons l'opportunité de découvrir un métier passionnant.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10291611/Stagiaire-chargé-de-recrutement-–-casablanca-bac-5-en-rh.html"
767,"Agent d'exploitation - Intérim - Mohammadia - Casablanca","Confidentiel","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Pour le compte d'un client opérant dans le domaine logistique, nous sommes à la recherche d'un agent d'exploitation. Type de contrat : Intérim Salaire : 4000 DH Transport assuré sur quelques zones de Casablanca et Mohammadia.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297778/Agent-dexploitation-Intérim-Mohammadia.html"
768,"Opérateur de ligne avec permis Clark - Lissasfa - Casablanca","Confidentiel","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Pour le compte d'un client opérant dans le secteur agroalimentaire, nous sommes à la recherche de 2 opérateurs de ligne. Type de contrat : Intérim Salaire : 4500 DH Profil recherché : -Disponibles pour travailler en shift -Expérience dans le secteur agroalimentaire","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297783/Opérateur-de-ligne-avec-permis-Clark-Lissasfa.html"
769,"Superviseur Commercial Centre D'appel - Rabat","Particulier","Rabat","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Centre d'appel a Rabat spécialisé en service télécom pour le marché canadien, recrute un Superviseur Commercial expérimenté pour manager son équipe de téléconseillers commerciaux (Vente en émission/réception d'appels + onboarding clients. Vous encadrez des agents commerciaux au téléphone avec une forte orientation chiffres et dépassement d'objectifs. Profil requis : Expérience en centre d'appel obligatoire . 5ans minimum en vente B2C par téléphone ( secteur télécom fortement apprécié) . 2.3 ans de supervision /management d'équipe commerciale en centre d'appels . Résultat prouvé : dépassement des quotas, croissance du CA de l'équipe . Maitrise de la télévente ( émission/réception et des techniques de closing Compétences Clés . Bilinguisme Français/Anglais . Excellence dans le pilotage des KPI commerciaux en centre d'appels . Leadership orienté résultats et coaching des agents . Maitrise des outils CRM et de reporting de performance CANDIDATURE Envoyez votre CV en mentionnant .Résultat CA/quotas atteints (3 dernières années) .Taille des équipes de télévente managées . Niveau de bilinguisme FR/EN","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297786/Superviseur-Commercial-Centre-Dappel-Rabat.html"
770,"Comptable Sénior - Bouskoura - Casablanca","Confidentiel","Bouskoura","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous somme une entreprise spécialisée dans l’entreposage, le stockage et la gestion logistique de marchandises. Dans le cadre du développement de nos activités, nous recherchons un Comptable Sénior afin de renforcer notre service financier. Missions principales : Assurer la tenue complète de la comptabilité générale et analytique. Réaliser les clôtures mensuelles, trimestrielles et annuelles. Préparer et contrôler les déclarations fiscales (TVA, IS, etc.). Suivre les immobilisations liées aux infrastructures et équipements de stockage. Réviser les comptes et établir les états financiers. Participer aux audits internes et externes. Analyser les coûts logistiques et proposer des axes d’amélioration. Encadrer et accompagner les collaborateurs comptables si nécessaire. Profil recherché : Bac+3 à Bac+5 en comptabilité/finance. Expérience confirmée de 5 ans minimum sur un poste similaire, idéalement dans la logistique, l’entreposage ou l’industrie. Maîtrise des normes comptables françaises. Bonne maîtrise des outils informatiques (ERP, Excel). Rigueur, autonomie, sens de l’organisation et capacité d’analyse.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297791/Comptable-Sénior-Bouskoura-Casablanca.html"
771,"Stagiaires en gestion des projets Bac+3 - Bouskoura","Confidentiel","Bouskoura","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous sommes une société de transport et logistique basée à Bouskoura et, dans le cadre du renforcement de nos activités, nous recrutons deux stagiaires pour accompagner le pilotage des subventions, des incitations à l’investissement et le suivi des projets. Missions principales : Participer à la constitution et au suivi des dossiers de subventions et d’incitations fiscales Assurer la qualité des dossiers de déboursement et le respect des délais Mettre à jour les tableaux de bord de suivi (subventions, investissements, plans d’action) Coordonner avec les équipes internes (finance, métiers) et les parties prenantes externes Contribuer à la veille réglementaire, économique et à la traçabilité des actions Profil recherché : Bac+3 / Bac+4 en finance, gestion ou gestion de projets Bon esprit d’analyse et de synthèse Excellentes capacités rédactionnelles et de communication Maîtrise du Pack Office (Excel, Word, PowerPoint) La connaissance de Power BI ou d’outils de veille est un plus Bon niveau en français, l’anglais est apprécié","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297794/Stagiaires-en-gestion-des-projets-Bac3.html"
772,"Psychologue Clinicien - Rabat","Clinique la vallée","Rabat","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Description de la clinique : Clinique la vallée est une clinique spécialisée en psychiatrie et l’addictologie. Nous offrons un environnement de travail dynamique et bienveillant, avec une équipe pluridisciplinaire dédiée au bien-être de nos patients. Missions : - Évaluer et diagnostiquer les troubles psychologiques des patients. - Élaborer des plans de traitement adaptés aux besoins individuels. - Mener des séances de thérapie individuelle et de groupe. - Collaborer avec d'autres professionnels de santé pour assurer un suivi global des patients. - Participer à des réunions d'équipe et contribuer à l'amélioration continue des pratiques. Profil recherché : - Diplôme en psychologie (Master ou Doctorat). - Inscription à l’Ordre des Psychologues. - Expérience en milieu psychiatrique souhaitée. - Excellentes compétences en communication et en écoute. - Capacité à travailler en équipe et à gérer des situations stressantes. Ce que nous offrons : - Un environnement de travail stimulant et respectueux. - Des opportunités de formation continue. - Un salaire compétitif et des avantages sociaux. Comment postuler : Envoyez votre CV et une lettre de motivation","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297795/Psychologue-Clinicien.html"
773,"Taxateur/ Pointeur (H/F) – Fès","Confidentiel","Fès","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Dans le cadre du renforcement de notre équipe, nous sommes une société de transport et de messagerie basée à Fès et nous recrutons un Taxateur Pointeur. Missions principales : Pointer et contrôler les colis à l’arrivée et au départ Vérifier les documents de transport Assurer la taxation des envois selon les tarifs en vigueur Signaler toute anomalie (manquants, avaries, erreurs) Collaborer avec les équipes d’exploitation et de livraison Profil recherché : Bac ou plus Expérience dans le transport ou la messagerie souhaitée Bonne maîtrise des chiffres Sens de l’organisation et de la rigueur Capacité à travailler en équipe Disponibilité et sérieux","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297797/Taxateur-Pointeur-(HF)-–-Fès.html"
774,"Femme de ménage_ BOUSKOURA","Domino RH","Bouskoura","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Pour le compte de notre client, une industrie pharmaceutique basée à Bouskoura, nous recrutons des femmes de ménage. Profil recherché : Expérience préalable en tant que femme de ménage, idéalement en milieu industriel ou pharmaceutique Maîtrise de la lecture et de l’écriture obligatoire Sens de la rigueur, de la propreté et du respect des procédures Disponibilité pour travailler en horaires décalés (jour/nuit)","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297823/Femme-de-ménage-BOUSKOURA.html"
775,"Technicien méthodes maintenance_ bouskoura / bac+2 / bac+3","Domino RH","Bouskoura","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Pour le compte de notre client opérant dans le secteur pharmaceutique, nous recrutons un Technicien Méthodes Maintenance basé à Bouskoura. Profil recherché : Bac+2 / Bac+3 en maintenance industrielle, électromécanique ou équivalent Expérience de 2 ans minimum, idéalement en environnement pharmaceutique, cosmétique ou agroalimentaire Bonne connaissance des normes BPF / GMP Maîtrise des outils GMAO Rigueur, sens de l’organisation et esprit d’analyse","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10295916/Technicien-méthodes-maintenance-bouskoura-bac2-bac3.html"
776,"Manager H/F Almaz - Casablanca","McDonald's","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact McDonald's Maroc recrute des managers: Le manager est le garant d’une bonne gestion du restaurant, il veille tout le temps sur la qualité, le service, la propreté pendant son shift et la sécurité des biens et des collaborateurs du restaurant. Evolution professionnelle :S’il a le potentiel en termes de compétences comportementales, managériales et opérationnelles, il pourra évoluer vers le poste de 1er assistant après avoir rempli les critères pour passer le conseil de nomination et décrocher éventuellement le poste de directeur de restaurant une fois ses compétences confirmées. Profil recherché :La fonction est accessible aux Bac +2 et plus. Une première expérience en Management, Relation client, vente, etc…est souhaitable , Bonne maîtrise de la relation client Animation d'équipe Pratique professionnelle de la langue française.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297837/Manager-HF-Almaz.html"
777,"Technicien de production et de maintenance / bac+2 - Casablanca","Multinational","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Formation :Bac+2 (Électrotechnique, Mécanique, Électricité). Expérience :3 à 5 ans d'expérience dans un environnement industriel. Compétences spécifiques :** Solides compétences en maintenance électrique et mécanique. Salaire proposé : 3 500 DH à 5 000 DH. Mission et Principales Contributions Assurer la conduite et l’organisation de l’unité de production gaz de l’air : préparation, démarrage, arrêt, production, entretien courant selon les règles de sécurité et l'IMS. 1. Conduite de l'unité ""-Effectuer le réglage, l’optimisation et la stabilisation de l’appareil de production selon les consignes et les instructions. -Veiller au respect et à la réalisation du planning de la production gaz de l’air selon les règles de sécurité et l'IMS. -S'assurer de la conformité du produit fini. -Contrôler les machines de production en assurant les rondes et suivre les paramètres de marche de l’unité. -Relever les anomalies constatées sur les différentes machines et les noter sur le cahier de poste. -Intervenir en temps réel et effectuer le dépannage et la réparation des installations, en suivant les instructions de son supérieur. -Veiller à la bonne conservation des moyens de production en parfait état de marche et assurer la sécurité. -Mettre en application le planning d’entretien courant -Effectuer toute autre tâche qui lui est confiée par son manager dans le cadre de l’exercice de ses fonctions. -Effectuer le chargement des citernes mobiles gaz de l'air et CO2 selon les consignes et les instructions. -Effectuer le déchargement des conteneurs d'imports. -Contribuer à l'ordre et à la proprété du poste de travail. -Proposer des aménagements de poste de travail."" 2. Organisation du travail et Qualité "" - Effectuer avec fiabilité les relevés de stocks productions liquides - Effectuer des opérations polyvalentes qui concourrent à l'efficacité. - Etre attentif aux écarts de fonctionnement - Connaitre le bon interlocuteur à informer et les mesures à pre","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297845/Technicien-de-production-et-de-maintenance-bac2.html"
778,"Cariste - Bouskoura","ARTUS","Bouskoura","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Dans le cadre de notre accompagnement en recrutement, nous recherchons pour le compte de l’un de nos partenaires un Cariste basé à Bouskoura Vous avez une expertise en manutention, gestion de stock et conduite de chariots élévateurs, et souhaitez relever un nouveau défi dans un environnement dynamique ? Cette opportunité est faite pour vous ! - Lieu : Bouskoura - Contrat : Intérim - Salaire : À négocier selon profil - Missions principales : Chargement et déchargement des marchandises Réception, vérification et stockage des produits Approvisionnement des zones de production Utilisation de chariots élévateurs en toute sécurité Suivi des mouvements de stock via outils internes - Profil recherché : Expérience confirmée en tant que cariste dans un environnement industriel Maîtrise de la conduite de chariots élévateurs (CACES ou équivalent obligatoire) Sérieux(se), ponctuel(le) et autonome Disponible immédiatement - Compétences requises : Conduite de chariot élévateur (frontal et/ou latéral) Lecture de bons de livraison et de préparation Sens de l’organisation et respect des consignes de sécurité Bonne condition physique","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297849/Cariste-Bouskoura.html"
779,"RECRUTEMENT URGENT (GHANDI.BOURGOUNE) - Casablanca","LABELVIE","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous sommes à la recherche de nouveaux collaborateurs motivés dynamiques souhaitant évoluer dans un environnement professionnel","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297850/RECRUTEMENT-URGENT-(GHANDIBOURGOUNE).html"
780,"COORDINATEUR HYGIENE - Marrakech","BEINTERIM","Marrakech","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous recrutons pour le compte de notre client un ou une coordinatrice HYGIENE pour un restaurant sur MARRAKECH. Missions principales : Mettre en place et appliquer les procédures d’hygiène et de sécurité alimentaire Veiller au respect des normes HACCP à toutes les étapes (réception, stockage, préparation, service) Former et sensibiliser le personnel aux bonnes pratiques d’hygiène Contrôler la propreté des locaux, du matériel et des équipements Assurer le suivi des températures, de la traçabilité et des dates de péremption Gérer les audits internes et préparer les contrôles sanitaires Signaler les non-conformités et proposer des actions correctives Compétences requises : Bonne connaissance des normes d’hygiène et de sécurité alimentaire Sens de l’organisation et de la rigueur Capacité d’analyse et de contrôle Aptitudes en communication et en formation du personnel Esprit d’observation et réactivité Qualités personnelles : Sérieuse et méthodique Sens des responsabilités Autorité naturelle et pédagogie Souci du détail et respect strict des règles Formation / Expérience : Formation en hygiène alimentaire, restauration ou qualité Expérience en restauration","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297855/COORDINATEUR-HYGIENE.html"
781,"Agents d’immatriculation ain sbaa / bac +3 - Casablanca","xxxx","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous avons un besoin de 2 Agents d’Immatriculation ayant un bac +3 en gestion et expérience dans l’immatriculation / saisie, réactifs et à l’aise avec les outils informatiques. - Type de contrat : Remplacement maternité 3 mois renouvelables+ Intérim de 3 mois renouvelables. - Salaire :4 000 nets.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297872/Agents-d’immatriculation-ain-sbaa-bac-3.html"
782,"Technicien de maintenance - Casablanca","Anonyme","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Bonjour, Nous sommes à la recherche au profit de notre entreprise spécialisée en industrie agroalimentaire, des techniciens en maintenance expérimentés en industrie agroalimentaire. Si vous êtes intéressés par une opportunité qui va booster votre carrière, merci de nous envoyer votre CV en réponse à cette annonce.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297885/Technicien-de-maintenance.html"
783,"Chauffeur SOLO - permis C à Tanger","Confidentiel","Tanger","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Bonjour, Notre entreprise spécialisée dans la logistique et le transport recherche des chauffeurs professionnels avec un permis C et deux ans expérience en livraison. Capacité à gérer les tournées de livraison dans le respect des délais et des procédures","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297889/Chauffeur-SOLO-permis-C-à-Tanger.html"
784,"Chef mécanique expérimenter- Tanger Bac +5","Confidentiel","Tanger","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous recrutons un Chef d’Atelier Mécanique expérimenté pour superviser et coordonner les activités de notre atelier. Vous garantirez la qualité, la sécurité et l’efficacité des opérations mécaniques tout en encadrant l’équipe technique. Missions principales : Superviser les opérations de maintenance, réparation et entretien des véhicules. Encadrer, former et motiver l’équipe technique de l’atelier. Planifier et organiser le travail quotidien en fonction des priorités et des urgences. Assurer le respect des normes de sécurité et des procédures internes. Contrôler la qualité des interventions et proposer des améliorations techniques. Gérer les stocks de pièces détachées et les commandes auprès des fournisseurs. Participer à l’optimisation des processus et à la réduction des coûts. Profil recherché : Formation technique en mécanique automobile . Minimum 6 ans d'expérience. Maîtrise des outils de diagnostic et des équipements d’atelier. Capacités managériales et sens de l’organisation. Rigueur, réactivité et sens de la sécurité.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297890/Chef-mécanique-expérimenter-Tanger-Bac-5.html"
785,"Opérateur de machine - Casablanca","Anonyme","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Bonjour, Nous recrutons pour le compte de notre société spécialisée en industrie agroalimentaire, des opérateurs de machine ayant une première expérience en industrie. Si vous êtes intéressé(e)s par une expérience qui va booster votre carrière, n'hésitez pas à nous envoyer votre CV en réponse à cette annonce","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297892/Opérateur-de-machine.html"
786,"Responsable de maintenance Parc Auto -casablanca","Confidentiel","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Dans le cadre du renforcement de notre organisation, nous recrutons un(e) Responsable Maintenance Parc Auto chargé(e) d’assurer la gestion, la maintenance et l’optimisation de notre flotte de véhicules, tout en garantissant leur disponibilité, leur fiabilité et leur conformité réglementaire. Missions principales : Piloter et organiser la maintenance préventive et corrective du parc automobile (véhicules légers, utilitaires et/ou poids lourds). Élaborer et suivre les plannings de maintenance afin de garantir la disponibilité opérationnelle des véhicules. Encadrer et animer les équipes techniques (mécaniciens, chefs d’atelier, prestataires externes). Gérer les relations avec les fournisseurs, garages et concessionnaires. Assurer le suivi des coûts de maintenance et optimiser le budget du parc auto. Veiller au respect des normes de sécurité, de qualité et de la réglementation en vigueur. Mettre en place des indicateurs de performance (KPI) et des actions d’amélioration continue. Gérer les sinistres, pannes majeures et immobilisations véhicules. Participer à la définition de la politique de renouvellement du parc. Assurer le reporting et la traçabilité des interventions de maintenance. Profil recherché : Formation Bac+3/5 en maintenance automobile, mécanique ou équivalent. Expérience confirmée dans la gestion de maintenance de parc auto, idéalement dans le transport ou la logistique. Solides compétences techniques en mécanique (VL / PL). Capacités managériales et sens de l’organisation. Maîtrise des outils de gestion de maintenance (GMAO). Rigueur, réactivité et esprit d’analyse.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10297894/Responsable-de-maintenance-Parc-Auto-casablanca.html"
787,"Aide livreur à Marrakech","Confidentiel","Marrakech","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Une entreprise leader nationale dans son secteur, souhaite renforcer son équipe commerciale, et cherche dans ce sens un aide livreur avec les caractéristiques suivantes : * Une expérience probante dans le domaine de la distribution auprès des détaillants (circuit traditionnel).* Avoir une connaissance élargie de la ville et de ses différents points de vente.* Aime relever les défis et atteindre les objectifs fixés par la Direction.Nous vous proposons un cadre de travail agréable et challengeant, avec une gestion de carrière au point et une déclaration auprès des organismes sociaux à partir du 1ér mois d'intégration. Si votre profil correspond aux critères demandés, prière de nous transmettre votre candidature via ce site. Dans l'attente de vous lire","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10289930/Aide-livreur-à-Marrakech.html"
788,"B2b senior business developer / bac+2 - Casablanca","AFRICA STAFFING","Casablanca","MarocAnnonces","03/01/2026","Mes Favoris Connexion Inscription FAQ Contact Nous recrutons pour le compte de notre client, un acteur reconnu dans l'édition d'annuaires professionnels, deux Commerciaux Terrain Seniors à Casablanca. Missions principales : Prospecter et développer un portefeuille de clients (professionnels et entreprises). Assurer la promotion et la vente des solutions de communication et d'annuaires professionnels. Identifier les besoins des clients et leur proposer des offres adaptées. Négocier et conclure les contrats commerciaux. Suivre et fidéliser la clientèle existante. Profil recherché : Bac+2 ou plus en commerce, gestion ou équivalent. Expérience confirmée (minimum 4 ans) dans la vente terrain BtoB. Excellentes compétences en négociation et closing. Connaissance du tissu économique de Casablanca et forte capacité de prospection. Autonomie, rigueur et sens du résultat. Conditions proposées : Contrat CDI. Salaire entre 10k et 14k + primes sur objectifs. Avantages liés à la fonction.","https://www.marocannonces.com/categorie/309/Offres-emploi/annonce/10218527/B2b-senior-business-developer-bac2.html"
